"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149 / 주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-04-30"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 서울특별시"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 성동구 옥수동","220-1","0220","0001","한남하이츠","101.0900","202404","29","204,000","-","14","개인","개인","1982","독서당로 156","-","중개거래","서울 서초구, 서울 성동구","-"
"2","서울특별시 성동구 옥수동","436","0436","0000","극동그린","114.3200","202404","29","123,800","-","4","개인","개인","1997","독서당로 175","-","중개거래","서울 성동구","-"
"3","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.7800","202404","27","154,000","-","3","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"4","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.7800","202404","27","154,500","-","8","개인","개인","2016","매봉길 50","20240501","중개거래","서울 성동구","-"
"5","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.7800","202404","27","154,500","-","8","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"6","서울특별시 성동구 옥수동","428","0428","0000","극동","148.2300","202404","26","160,000","-","1","개인","개인","1986","독서당로 191","-","중개거래","서울 성동구","-"
"7","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","84.5100","202404","25","182,000","-","3","개인","개인","2016","매봉길 50","-","중개거래","서울 마포구, 서울 성동구","-"
"8","서울특별시 성동구 옥수동","528-1","0528","0001","옥수파크힐스117동~125동","59.7800","202404","24","150,000","-","15","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"9","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.8800","202404","24","149,000","-","2","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"10","서울특별시 성동구 옥수동","561","0561","0000","래미안 옥수 리버젠","59.2500","202404","22","143,000","-","13","개인","개인","2012","매봉길 15","-","중개거래","서울 성동구","-"
"11","서울특별시 성동구 옥수동","561","0561","0000","래미안 옥수 리버젠","59.9800","202404","21","145,100","-","4","개인","개인","2012","매봉길 15","-","중개거래","서울 강남구, 서울 성동구","-"
"12","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.7800","202404","20","159,000","-","8","개인","개인","2016","매봉길 50","-","중개거래","서울 마포구, 서울 성동구","-"
"13","서울특별시 성동구 옥수동","100","0100","0000","옥수하이츠","114.7800","202404","19","200,000","-","2","개인","개인","1998","한림말길 50","-","중개거래","서울 성동구","-"
"14","서울특별시 성동구 옥수동","557","0557","0000","극동옥정","56.0400","202404","19","70,000","-","8","개인","개인","1998","한림말길 24","-","중개거래","서울 성동구","-"
"15","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","84.6400","202404","19","185,000","-","15","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"16","서울특별시 성동구 옥수동","528-1","0528","0001","옥수파크힐스117동~125동","59.7800","202404","18","144,800","-","4","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
