,강서구_주민등록인구 (명),강서구_순이동인구 (명),강서구_전출인구 (명),강서구_전입인구 (명),강서구_사망자수 (명),강서구_인구총조사 인구,강서구_평균연령,강서구_출생아수 (명),강서구_인구총조사 인구,강서구_합계출산율,강서구_등록외국인 현황 (명),강서구_이혼건수 (건),강서구_신혼부부수 (쌍),강서구_혼인건수 (건),강서구_조혼인율,강서구_조이혼율,강서구_스트레스인지율 (%),강서구_EQ-5D (점),강서구_주관적 건강수준인지율 (%),강서구_흡연율 (%),강서구_음주율 (%),강서구_고위험음주율 (%),강서구_미충족의료율 (%),강서구_인플루엔자 예방접종률 (%),강서구_건강생활실천율 (%),강서구_비만유병률 (%),강서구_학급당 학생수 (명),강서구_초등학교 교원수 (명),강서구_초등학교 학생수 (명),강서구_초등학교 수 (개),강서구_유치원 교원수 (명),강서구_유치원 원아수 (명),강서구_유치원 수 (개),강서구_도시지역면적 (㎡),강서구_주택수 (호),강서구_토지거래면적,강서구_종사자수 (명),강서구_친환경인증 농산물 출하량 (톤),강서구_가구수 (가구),강서구_서비스업 사업체수 (개),강서구_도소매업 종사자수 (명),강서구_도소매업 사업체수 (개),강서구_운수업 종사자수 (명),강서구_운수업 사업체수 (개),강서구_제조업 종사자수 (명),강서구_제조업 사업체수 (개),강서구_사업체수 (개),강서구_서비스업 사업체수(등록기반) (개),강서구_도소매업 종사자수(등록기반) (명),강서구_도소매업 사업체수(등록기반) (개),강서구_운수업 종사자수(등록기반) (명),강서구_운수업 사업체수(등록기반) (개),강서구_제조업 종사자수(등록기반) (명),강서구_제조업 사업체수(등록기반) (개),강서구_사업체수(등록기반) (개),강서구_화재발생건수 (건),강서구_하수도보급률 (%),강서구_폐수배출업소수 (개),강서구_인구십만명당 자살률 (십만명당),강서구_등록장애인수 (명)
2014,585160,12888,96548,109436,2474,-,-,5424,-,1.064,6493,1092,-,4338,7.6,1.9,28.7,0.951,43.4,22.4,57.9,14.6,-,34,40.9,-,26.79,1735,27387,36,416,5131,46,41400000,-,1483,-,28.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,306,100,180,25.2,-
2015,589074,103,94501,94604,2573,570507,40.1,5812,570507,1.129,6617,1118,21023,4578,7.9,1.9,29.4,0.956,43.1,20.9,61.5,15.8,-,35,38.5,-,25.75,1778,27960,36,457,5643,52,41400000,179045,1663,-,51,220598,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,301,100,180,24.6,-
2016,595485,2841,93011,95852,2594,574287,40.5,5456,574287,1.059,6619,1112,20638,4111,7,1.9,28.4,0.96,46.5,19.6,66.9,14,-,34.1,37.2,-,24.87,1774,27048,36,468,5858,52,41400000,184422,1252,-,79,225672,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,372,100,187,22.5,-
2017,601691,3734,86483,90217,2574,581675,41,4800,581675,0.925,6564,1120,20089,4069,6.9,1.9,29.9,0.954,40.8,22.3,60.2,17.6,-,36.9,37.9,-,24.18,1760,26594,36,483,6084,53,41462497,188176,1716,234394,129.8,234926,25590,34665,8713,53820,7095,7027,1258,36556,-,-,-,-,-,-,-,-,364,100,200,20.3,-
2018,596949,-6582,90281,83699,2759,578539,41.5,4260,578539,0.826,6662,1068,18709,3835,6.5,1.8,33.2,0.971,34.1,19.8,60.7,17.9,-,39.9,45,33.1,23.56,1768,26949,36,481,6023,56,41462415,190525,1123,248204,115.7,238901,27174,37641,9079,52138,7317,7311,1257,38524,-,-,-,-,-,-,-,-,383,100,192,23.6,-
2019,591796,-6539,85057,78518,2691,574097,42,3841,574097,0.76,6477,1103,17241,3589,6.1,1.9,29.9,0.953,43.9,18.1,61.5,14.6,6.4,40.8,43.1,30.7,22.82,1781,27134,36,466,5683,56,41463274,193551,949,257494,80.01,243220,28076,37437,9209,50974,7280,7317,1275,39458,-,-,-,-,-,-,-,-,331,100,186,24.2,28854
2020,580185,-12375,99573,87198,2694,564854,42.6,3345,564854,0.675,5716,1103,15457,3233,5.6,1.9,31,-,57.2,18.2,55,12.1,5.4,49.1,33.9,-,22.06,1756,26078,35,466,5375,54,41463274,195383,1309,-,69.02,247202,-,-,-,-,-,-,-,-,43380,44848,16465,52507,8490,8664,1992,58788,212,100,196,23.8,28727
2021,574315,-4099,91368,87269,2884,559837,43.1,3006,559837,0.617,5453,973,13974,2669,4.7,1.7,30.4,-,55.5,16,51.7,12.7,3.2,45.4,47.2,-,22.07,1711,24896,35,418,4786,52,41463273,199556,1661,-,86.95,253018,-,-,-,-,-,-,-,-,42794,46136,15831,50603,9188,8338,1965,58806,223,100,197,26.6,28546
2022,569166,-3444,73672,70228,3285,555999,43.7,2865,555999,0.588,5472,865,12737,2614,4.6,1.5,24.2,-,49,15.3,56.2,17.3,3.5,44,47.8,-,21.57,1732,24468,35,423,4380,53,41463273,201611,1626,-,53.72,257613,-,-,-,-,-,-,-,-,43102,45116,15554,52117,9712,8262,1946,59660,223,100,-,21,28393
2023,563058,-5898,74672,68774,-,-,-,-,-,-,-,826,-,2558,4.5,1.5,26.2,-,48.5,20.1,59,15.4,3.3,44.1,49.3,-,21.39,1705,23699,35,413,4054,51,-,-,460,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,274,-,-,-,28319
