,구로구_주민등록인구 (명),구로구_순이동인구 (명),구로구_전출인구 (명),구로구_전입인구 (명),구로구_사망자수 (명),구로구_인구총조사 인구,구로구_평균연령,구로구_출생아수 (명),구로구_인구총조사 인구,구로구_합계출산율,구로구_등록외국인 현황 (명),구로구_이혼건수 (건),구로구_신혼부부수 (쌍),구로구_혼인건수 (건),구로구_조혼인율,구로구_조이혼율,구로구_스트레스인지율 (%),구로구_EQ-5D (점),구로구_주관적 건강수준인지율 (%),구로구_흡연율 (%),구로구_음주율 (%),구로구_고위험음주율 (%),구로구_미충족의료율 (%),구로구_인플루엔자 예방접종률 (%),구로구_건강생활실천율 (%),구로구_비만유병률 (%),구로구_학급당 학생수 (명),구로구_초등학교 교원수 (명),구로구_초등학교 학생수 (명),구로구_초등학교 수 (개),구로구_유치원 교원수 (명),구로구_유치원 원아수 (명),구로구_유치원 수 (개),구로구_도시지역면적 (㎡),구로구_주택수 (호),구로구_토지거래면적,구로구_종사자수 (명),구로구_친환경인증 농산물 출하량 (톤),구로구_가구수 (가구),구로구_서비스업 사업체수 (개),구로구_도소매업 종사자수 (명),구로구_도소매업 사업체수 (개),구로구_운수업 종사자수 (명),구로구_운수업 사업체수 (개),구로구_제조업 종사자수 (명),구로구_제조업 사업체수 (개),구로구_사업체수 (개),구로구_서비스업 사업체수(등록기반) (개),구로구_도소매업 종사자수(등록기반) (명),구로구_도소매업 사업체수(등록기반) (개),구로구_운수업 종사자수(등록기반) (명),구로구_운수업 사업체수(등록기반) (개),구로구_제조업 종사자수(등록기반) (명),구로구_제조업 사업체수(등록기반) (개),구로구_사업체수(등록기반) (개),구로구_화재발생건수 (건),구로구_하수도보급률 (%),구로구_폐수배출업소수 (개),구로구_인구십만명당 자살률 (십만명당),구로구_등록장애인수 (명)
2014,425831,-2221,65025,62804,1666,-,-,4279,-,1.142,31300,826,-,3156,7.5,2,30.2,0.95,44.1,21.7,63.1,19.3,-,36.6,34.4,-,26.72,1303,19562,24,262,3614,38,20119485,-,781,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180,100,125,21.8,-
2015,422092,-6953,64052,57099,1731,444832,40.9,4257,444832,1.169,32512,817,14639,3045,7.3,1.9,31.6,0.946,43.6,19.2,60.1,14.5,-,32.2,47.4,-,25.85,1298,19363,24,268,3568,37,20119485,118047,967,-,-,170651,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,221,100,125,21.2,-
2016,417551,-7190,61558,54368,1794,442165,41.5,3736,442165,1.07,32049,783,13586,2674,6.4,1.9,29.2,0.952,41.1,22.8,61.5,14.9,-,35.6,37.6,-,25.12,1308,19143,24,258,3482,36,20119485,120431,791,-,-,171945,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,247,100,135,22.9,-
2017,410742,-8595,58672,50077,1749,436869,42.2,3139,436869,0.943,30817,775,12392,2460,6,1.9,25.3,0.956,42.4,18.3,61.3,17.3,-,34.7,47.8,-,24.61,1313,18965,24,259,3271,36,20136328,121684,816,213468,-,172346,27506,40111,12201,9552,4768,19002,3729,38405,-,-,-,-,-,-,-,-,260,100,132,18.8,-
2018,404497,-7435,58543,51108,1922,433765,42.9,2658,433765,0.838,33989,741,11614,2286,5.7,1.8,24.5,0.971,44.9,18.7,69.3,14.6,-,35.1,52.2,33.1,23.83,1297,18820,24,252,3108,34,20136328,124569,1069,218070,-,174431,27569,40438,12100,9160,4891,17612,3677,38553,-,-,-,-,-,-,-,-,263,100,122,27.5,-
2019,406664,1125,53666,54791,1811,435560,43.4,2460,435560,0.794,32707,733,11217,2063,5.1,1.8,26,0.96,38.9,16.6,63.1,14.7,5.4,37.6,46.3,32.2,22.67,1330,18674,26,264,3135,34,20136328,129693,567,225668,9.35,178837,27715,39383,11694,9242,4907,18469,3609,38756,-,-,-,-,-,-,-,-,247,100,123,21,18141
2020,404408,-3139,64024,60885,1892,435442,44,2269,435442,0.737,28080,716,10988,2063,5.1,1.8,27.9,-,55.5,15.5,54.8,14.3,2.3,44.4,33.5,-,21.93,1336,18180,26,253,2905,32,20136328,133012,715,-,-,182636,-,-,-,-,-,-,-,-,39174,44781,17542,10940,5250,19190,4646,53547,156,100,131,19.7,18280
2021,396754,-6710,54880,48170,2137,426220,44.6,2229,426220,0.737,24409,658,9914,1671,4.2,1.7,24,-,49.4,13.5,50.2,11.2,3.6,40.2,49.4,-,21.74,1300,17290,26,243,2693,31,20136328,134367,680,-,-,184821,-,-,-,-,-,-,-,-,38413,44216,17126,10873,5498,17762,4550,52791,173,100,121,21.7,18374
2022,395315,-489,45359,44870,2440,424038,45.1,2057,424038,0.684,23103,578,9182,1562,4,1.5,26.5,-,48.6,15.8,64,16.5,5.4,36.1,48.3,-,21.45,1291,16900,26,243,2534,32,20136328,137403,469,-,0.58,188054,-,-,-,-,-,-,-,-,38170,43403,16900,11797,6146,16876,4434,52988,222,100,-,22.4,18499
2023,392405,-2835,43785,40950,-,-,-,-,-,-,-,575,-,1655,4.2,1.5,24.8,-,54.4,18,61.1,15.8,4.5,43.7,41.6,-,21.53,1275,16334,26,255,2464,31,-,-,357,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,-,-,-,18906
