,금천구_주민등록인구 (명),금천구_순이동인구 (명),금천구_전출인구 (명),금천구_전입인구 (명),금천구_사망자수 (명),금천구_인구총조사 인구,금천구_평균연령,금천구_출생아수 (명),금천구_인구총조사 인구,금천구_합계출산율,금천구_등록외국인 현황 (명),금천구_이혼건수 (건),금천구_신혼부부수 (쌍),금천구_혼인건수 (건),금천구_조혼인율,금천구_조이혼율,금천구_스트레스인지율 (%),금천구_EQ-5D (점),금천구_주관적 건강수준인지율 (%),금천구_흡연율 (%),금천구_음주율 (%),금천구_고위험음주율 (%),금천구_미충족의료율 (%),금천구_인플루엔자 예방접종률 (%),금천구_건강생활실천율 (%),금천구_비만유병률 (%),금천구_학급당 학생수 (명),금천구_초등학교 교원수 (명),금천구_초등학교 학생수 (명),금천구_초등학교 수 (개),금천구_유치원 교원수 (명),금천구_유치원 원아수 (명),금천구_유치원 수 (개),금천구_도시지역면적 (㎡),금천구_주택수 (호),금천구_토지거래면적,금천구_종사자수 (명),금천구_친환경인증 농산물 출하량 (톤),금천구_가구수 (가구),금천구_서비스업 사업체수 (개),금천구_도소매업 종사자수 (명),금천구_도소매업 사업체수 (개),금천구_운수업 종사자수 (명),금천구_운수업 사업체수 (개),금천구_제조업 종사자수 (명),금천구_제조업 사업체수 (개),금천구_사업체수 (개),금천구_서비스업 사업체수(등록기반) (개),금천구_도소매업 종사자수(등록기반) (명),금천구_도소매업 사업체수(등록기반) (개),금천구_운수업 종사자수(등록기반) (명),금천구_운수업 사업체수(등록기반) (개),금천구_제조업 종사자수(등록기반) (명),금천구_제조업 사업체수(등록기반) (개),금천구_사업체수(등록기반) (개),금천구_화재발생건수 (건),금천구_하수도보급률 (%),금천구_폐수배출업소수 (개),금천구_인구십만명당 자살률 (십만명당),금천구_등록장애인수 (명)
2014,238463,-3561,37071,33510,1139,-,-,1820,-,1.019,19567,603,-,1556,6.6,2.6,31.1,0.943,42.4,23.7,62.1,19.8,-,33,36.8,-,25.35,751,9912,18,143,1946,19,13370000,-,456,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,126,100,222,28.9,-
2015,236284,-3247,37303,34056,1139,250690,42,1885,250690,1.086,19883,557,6705,1481,6.3,2.4,30.7,0.954,38.7,23.1,65.6,18.8,-,37,32.3,-,24.32,718,9610,17,135,1763,18,13370000,57096,714,-,-,103086,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,131,100,222,24.4,-
2016,235386,-1658,36528,34870,1163,247819,42.6,1595,247819,0.944,19268,535,6417,1324,5.7,2.3,27.5,0.964,42.5,25.6,64.2,20.5,-,35.7,34.8,-,23.41,702,9189,17,126,1666,17,13370000,58938,942,-,-,103691,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,173,100,212,27.6,-
2017,235154,-677,34907,34230,1167,249930,43,1498,249930,0.901,18337,525,6365,1439,6.2,2.3,32.8,0.958,42.3,20.3,62.5,23.9,-,39.5,38.9,-,22.04,731,9030,18,135,1767,18,13012685,62314,711,228000,-,106162,21203,41969,8948,9589,2824,40151,5412,31750,-,-,-,-,-,-,-,-,174,100,195,27.7,-
2018,233917,-1714,35508,33794,1133,249344,43.6,1314,249344,0.796,20104,539,6012,1269,5.5,2.3,30.7,0.964,46.2,23.8,57.5,19.6,-,39,47.8,29.3,21.21,712,8883,18,138,1716,18,13012685,65244,885,234012,2.5,108167,21931,40952,9091,9064,2818,40430,5399,32472,-,-,-,-,-,-,-,-,168,100,141,20.4,-
2019,232810,-1312,33728,32416,1199,249747,44.1,1154,249747,0.709,19010,540,5743,1243,5.4,2.4,25.4,0.953,41.9,20,60.6,20,13,40.2,44,34.1,20.3,698,8880,18,143,1610,19,13012685,67012,595,242686,4,111250,23130,41416,9264,8999,2903,40538,5401,33814,-,-,-,-,-,-,-,-,141,100,145,31.8,11373
2020,231733,-1210,36963,35753,1245,249419,44.6,1092,249419,0.668,16102,520,5380,1285,5.6,2.3,31.1,-,53.6,20.6,55.4,13.2,8.3,43.1,38.5,-,20.01,693,8339,18,139,1550,18,13012685,68804,480,-,1.6,115254,-,-,-,-,-,-,-,-,33805,45905,13984,8124,3110,40534,6690,47354,127,100,149,28,11390
2021,230811,616,35047,35663,1325,247398,45.1,1012,247398,0.612,14080,460,5140,1061,4.6,2,31.8,-,40.3,16.9,54.3,18.8,7.1,47.6,36.2,-,20.04,672,8050,18,135,1423,18,13012685,71117,532,-,1.8,118852,-,-,-,-,-,-,-,-,34262,42706,13385,8286,3218,39114,6698,47964,118,100,145,26.3,11458
2022,229642,-217,30370,30153,1494,247185,45.5,1004,247185,0.588,13176,409,4901,1149,5,1.8,26.1,-,46.7,18.2,59.4,16.9,5.7,41.8,38.7,-,19.82,664,7952,18,125,1393,17,13012685,72044,1081,-,0.7,121987,-,-,-,-,-,-,-,-,34449,41778,13076,8905,3543,38624,6705,48438,214,100,-,28,11587
2023,227481,-1801,30146,28345,-,-,-,-,-,-,-,374,-,1034,4.6,1.6,24.4,-,47.6,19.5,55.9,12.9,5.9,43,40.3,-,19.94,645,7631,18,129,1299,16,-,-,275,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,192,-,-,-,11833
