,노원구_주민등록인구 (명),노원구_순이동인구 (명),노원구_전출인구 (명),노원구_전입인구 (명),노원구_사망자수 (명),노원구_인구총조사 인구,노원구_평균연령,노원구_출생아수 (명),노원구_인구총조사 인구,노원구_합계출산율,노원구_등록외국인 현황 (명),노원구_이혼건수 (건),노원구_신혼부부수 (쌍),노원구_혼인건수 (건),노원구_조혼인율,노원구_조이혼율,노원구_스트레스인지율 (%),노원구_EQ-5D (점),노원구_주관적 건강수준인지율 (%),노원구_흡연율 (%),노원구_음주율 (%),노원구_고위험음주율 (%),노원구_미충족의료율 (%),노원구_인플루엔자 예방접종률 (%),노원구_건강생활실천율 (%),노원구_비만유병률 (%),노원구_학급당 학생수 (명),노원구_초등학교 교원수 (명),노원구_초등학교 학생수 (명),노원구_초등학교 수 (개),노원구_유치원 교원수 (명),노원구_유치원 원아수 (명),노원구_유치원 수 (개),노원구_도시지역면적 (㎡),노원구_주택수 (호),노원구_토지거래면적,노원구_종사자수 (명),노원구_친환경인증 농산물 출하량 (톤),노원구_가구수 (가구),노원구_서비스업 사업체수 (개),노원구_도소매업 종사자수 (명),노원구_도소매업 사업체수 (개),노원구_운수업 종사자수 (명),노원구_운수업 사업체수 (개),노원구_제조업 종사자수 (명),노원구_제조업 사업체수 (개),노원구_사업체수 (개),노원구_서비스업 사업체수(등록기반) (개),노원구_도소매업 종사자수(등록기반) (명),노원구_도소매업 사업체수(등록기반) (개),노원구_운수업 종사자수(등록기반) (명),노원구_운수업 사업체수(등록기반) (개),노원구_제조업 종사자수(등록기반) (명),노원구_제조업 사업체수(등록기반) (개),노원구_사업체수(등록기반) (개),노원구_화재발생건수 (건),노원구_하수도보급률 (%),노원구_폐수배출업소수 (개),노원구_인구십만명당 자살률 (십만명당),노원구_등록장애인수 (명)
2014,582552,-10245,83748,73503,2639,-,-,4715,-,1.109,3504,1067,-,3176,5.5,1.8,29.8,0.956,42.6,19.6,64.3,20.7,-,29.8,28.8,-,27.57,1987,31890,42,446,7733,70,35460032,-,1106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,252,100,105,27.2,-
2015,574583,-10144,83672,73528,2763,562996,39.9,4462,562996,1.096,3638,984,15664,3146,5.5,1.7,29.2,0.967,48.8,19.5,61.8,20.7,-,28.6,31.7,-,26.75,1949,31048,42,547,7364,69,35459862,186626,858,-,11,206092,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,241,100,105,25.5,-
2016,567581,-8927,81176,72249,2803,555420,40.4,4176,555420,1.068,3631,955,14931,2778,4.9,1.7,27.4,0.969,46.5,19.9,61.2,18,-,31.3,31.3,-,25.89,1915,29482,42,535,7255,67,35459862,189013,1341,-,3,205793,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,278,100,106,21.4,-
2017,554403,-14082,78488,64406,2645,543499,41,3494,543499,0.938,3672,1003,13561,2420,4.4,1.8,26.2,0.97,43.7,18.7,59.5,19.2,-,37.9,35.4,-,25,1874,28364,42,548,6867,68,35595942,187025,853,117859,-,204188,17451,15534,5084,12677,6550,4042,848,26516,-,-,-,-,-,-,-,-,279,100,98,23.2,-
2018,543752,-10881,72748,61867,2896,534096,41.6,2851,534096,0.809,4408,887,12167,2240,4.1,1.6,26.1,0.972,41,19.5,58,14.1,-,38.4,49.8,33,23.79,1851,27558,42,541,6639,68,35595942,186533,827,118713,2,203647,17490,15757,5030,12573,6598,3720,858,26616,-,-,-,-,-,-,-,-,229,100,88,25.4,-
2019,532905,-10912,68095,57183,2668,522480,42.3,2604,522480,0.776,4398,903,11016,2138,4,1.7,21.1,0.961,41.7,20.6,57.3,18.3,3.9,44,44.8,34.6,22.82,1788,26994,42,505,6203,66,35545790,187376,1835,116684,-,202930,17586,15458,4965,11955,6564,3533,797,26618,-,-,-,-,-,-,-,-,203,100,91,23.8,27342
2020,523037,-9531,77707,68176,2699,511982,43,2252,511982,0.695,3995,891,10304,1961,3.8,1.7,24.4,-,65.3,13.1,57.1,9.4,3.5,48.3,54.6,-,22.08,1751,25841,42,506,5872,62,35546826,189213,982,-,-,204210,-,-,-,-,-,-,-,-,26492,19196,9675,11331,6229,4240,1309,37442,172,100,88,22.2,27312
2021,510956,-9737,68473,58736,3007,503929,43.6,2225,503929,0.701,3990,782,9749,1765,3.4,1.5,24,-,59.9,14.6,52.9,8.5,2.6,49.2,51.2,-,21.96,1716,24692,42,488,5466,57,35546825,190352,1139,-,-,205936,-,-,-,-,-,-,-,-,26763,19515,9866,11619,6415,3964,1280,37909,173,100,86,23.8,26904
2022,503734,-4875,53482,48607,3245,496423,44.2,2246,496423,0.716,4280,665,9351,1748,3.5,1.3,19.9,-,54.7,16.4,56.7,12.7,2.8,40.3,54.5,-,21.21,1703,23991,42,476,5010,60,35543309,192022,385,-,-,206796,-,-,-,-,-,-,-,-,26533,18873,9876,11793,6791,3754,1241,38018,169,100,-,20.4,26617
2023,498213,-4591,55948,51357,-,-,-,-,-,-,-,671,-,1639,3.3,1.3,30.4,-,52.3,16.7,61.4,13.9,8.1,43.9,51.1,-,20.91,1656,22748,42,474,4608,58,-,-,251,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,198,-,-,-,26425
