,도봉구_주민등록인구 (명),도봉구_순이동인구 (명),도봉구_전출인구 (명),도봉구_전입인구 (명),도봉구_사망자수 (명),도봉구_인구총조사 인구,도봉구_평균연령,도봉구_출생아수 (명),도봉구_인구총조사 인구,도봉구_합계출산율,도봉구_등록외국인 현황 (명),도봉구_이혼건수 (건),도봉구_신혼부부수 (쌍),도봉구_혼인건수 (건),도봉구_조혼인율,도봉구_조이혼율,도봉구_스트레스인지율 (%),도봉구_EQ-5D (점),도봉구_주관적 건강수준인지율 (%),도봉구_흡연율 (%),도봉구_음주율 (%),도봉구_고위험음주율 (%),도봉구_미충족의료율 (%),도봉구_인플루엔자 예방접종률 (%),도봉구_건강생활실천율 (%),도봉구_비만유병률 (%),도봉구_학급당 학생수 (명),도봉구_초등학교 교원수 (명),도봉구_초등학교 학생수 (명),도봉구_초등학교 수 (개),도봉구_유치원 교원수 (명),도봉구_유치원 원아수 (명),도봉구_유치원 수 (개),도봉구_도시지역면적 (㎡),도봉구_주택수 (호),도봉구_토지거래면적,도봉구_종사자수 (명),도봉구_친환경인증 농산물 출하량 (톤),도봉구_가구수 (가구),도봉구_서비스업 사업체수 (개),도봉구_도소매업 종사자수 (명),도봉구_도소매업 사업체수 (개),도봉구_운수업 종사자수 (명),도봉구_운수업 사업체수 (개),도봉구_제조업 종사자수 (명),도봉구_제조업 사업체수 (개),도봉구_사업체수 (개),도봉구_서비스업 사업체수(등록기반) (개),도봉구_도소매업 종사자수(등록기반) (명),도봉구_도소매업 사업체수(등록기반) (개),도봉구_운수업 종사자수(등록기반) (명),도봉구_운수업 사업체수(등록기반) (개),도봉구_제조업 종사자수(등록기반) (명),도봉구_제조업 사업체수(등록기반) (개),도봉구_사업체수(등록기반) (개),도봉구_화재발생건수 (건),도봉구_하수도보급률 (%),도봉구_폐수배출업소수 (개),도봉구_인구십만명당 자살률 (십만명당),도봉구_등록장애인수 (명)
2014,353709,-5894,51552,45658,1632,-,-,2553,-,1,2003,777,-,1791,5.1,2.2,28.6,0.941,41.9,22.4,62.7,16.1,-,36.1,40,-,26.11,1111,18014,23,193,3097,31,20850000,-,423,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,197,100,87,27.6,-
2015,351242,-3499,52460,48961,1776,340095,41.7,2481,340095,1.01,1999,728,8892,1810,5.2,2.1,30.6,0.957,45.3,18.1,64.1,20.2,-,31.3,35,-,24.98,1114,17408,23,221,3035,30,20850000,102443,782,-,33,125952,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,188,100,87,26.1,-
2016,348220,-3771,48607,44836,1819,336745,42.4,2249,336745,0.947,2052,670,8482,1636,4.7,1.9,30.9,0.959,38.9,22.7,62.5,17.4,-,34.5,32.6,-,24.09,1087,16760,23,238,3027,30,20850000,104170,558,-,-,126297,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,222,100,82,21.7,-
2017,344166,-4295,45260,40965,1739,332586,43.2,1906,332586,0.833,2068,666,7869,1543,4.5,1.9,30.7,0.944,40.5,23,64.7,19,-,37.2,30.5,-,23.46,1061,16242,23,237,2929,29,20679052,104752,516,70503,0.9,126940,11510,10915,3500,9543,4502,4556,1090,18351,-,-,-,-,-,-,-,-,192,100,80,28.7,-
2018,339413,-4695,44213,39518,1901,328243,43.9,1707,328243,0.774,2236,724,7286,1471,4.4,2.1,28.9,0.952,34.1,21.1,67.3,19.6,-,38,43.2,30.5,22.62,1041,15962,23,230,2686,29,20679052,105526,1040,74314,0.7,127249,11522,10983,3455,10030,5099,4137,1020,18894,-,-,-,-,-,-,-,-,237,100,80,23.1,-
2019,333362,-5780,41225,35445,1836,323543,44.6,1483,323543,0.697,2269,702,6639,1316,4,2.1,29,0.937,40.5,17.2,61.8,17.6,7.6,40.8,40.5,35.4,22.1,1023,15561,23,212,2419,26,20679052,106641,712,72939,2.48,127843,11475,10797,3367,9064,5002,3794,945,18628,-,-,-,-,-,-,-,-,179,100,81,24.1,15450
2020,325257,-7457,47892,40435,1920,315979,45.3,1218,315979,0.601,2104,678,6042,1187,3.7,2.1,29,-,55.2,20.9,57,14.9,4.2,46.1,36.2,-,21.4,1012,14540,23,210,2252,24,20839966,107156,572,-,1.15,128378,-,-,-,-,-,-,-,-,17076,12752,6548,8493,4751,4252,1405,25607,163,100,82,25.5,15436
2021,317366,-5787,42682,36895,2004,309200,46.1,1136,309200,0.579,2007,611,5424,963,3,1.9,31.8,-,46.7,17.5,55.8,13.1,9.4,50.6,38.4,-,21.27,979,13952,23,215,2115,26,20839966,107959,520,-,-,129498,-,-,-,-,-,-,-,-,16721,12589,6178,8752,5058,3842,1350,25391,140,100,83,23.9,15300
2022,311694,-3567,32358,28791,2260,304137,46.8,1092,304137,0.573,2295,495,4991,940,3,1.6,29.1,-,53.1,19.1,54.4,13.9,4.5,44.8,48.8,-,20.83,967,13533,23,215,2083,28,20839966,109190,208,-,0.03,130115,-,-,-,-,-,-,-,-,16384,11973,6017,8971,5278,3687,1350,25193,159,100,-,27.9,15310
2023,306948,-3697,31809,28112,-,-,-,-,-,-,-,473,-,913,3,1.5,25.7,-,47.6,19.4,58.1,15.2,4.6,47.7,45.9,-,20.64,945,12864,23,219,1914,28,-,-,213,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,179,-,-,-,15276
