,마포구_주민등록인구 (명),마포구_순이동인구 (명),마포구_전출인구 (명),마포구_전입인구 (명),마포구_사망자수 (명),마포구_인구총조사 인구,마포구_평균연령,마포구_출생아수 (명),마포구_인구총조사 인구,마포구_합계출산율,마포구_등록외국인 현황 (명),마포구_이혼건수 (건),마포구_신혼부부수 (쌍),마포구_혼인건수 (건),마포구_조혼인율,마포구_조이혼율,마포구_스트레스인지율 (%),마포구_EQ-5D (점),마포구_주관적 건강수준인지율 (%),마포구_흡연율 (%),마포구_음주율 (%),마포구_고위험음주율 (%),마포구_미충족의료율 (%),마포구_인플루엔자 예방접종률 (%),마포구_건강생활실천율 (%),마포구_비만유병률 (%),마포구_학급당 학생수 (명),마포구_초등학교 교원수 (명),마포구_초등학교 학생수 (명),마포구_초등학교 수 (개),마포구_유치원 교원수 (명),마포구_유치원 원아수 (명),마포구_유치원 수 (개),마포구_도시지역면적 (㎡),마포구_주택수 (호),마포구_토지거래면적,마포구_종사자수 (명),마포구_친환경인증 농산물 출하량 (톤),마포구_가구수 (가구),마포구_서비스업 사업체수 (개),마포구_도소매업 종사자수 (명),마포구_도소매업 사업체수 (개),마포구_운수업 종사자수 (명),마포구_운수업 사업체수 (개),마포구_제조업 종사자수 (명),마포구_제조업 사업체수 (개),마포구_사업체수 (개),마포구_서비스업 사업체수(등록기반) (개),마포구_도소매업 종사자수(등록기반) (명),마포구_도소매업 사업체수(등록기반) (개),마포구_운수업 종사자수(등록기반) (명),마포구_운수업 사업체수(등록기반) (개),마포구_제조업 종사자수(등록기반) (명),마포구_제조업 사업체수(등록기반) (개),마포구_사업체수(등록기반) (개),마포구_화재발생건수 (건),마포구_하수도보급률 (%),마포구_폐수배출업소수 (개),마포구_인구십만명당 자살률 (십만명당),마포구_등록장애인수 (명)
2014,385439,1707,67146,68853,1534,-,-,3373,-,0.915,10391,636,-,2827,7.5,1.7,32.8,0.937,41.9,22.7,63.6,16.8,-,32.3,35.2,-,26.34,1160,17050,22,233,3183,28,23870000,-,566,-,5.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,250,100,74,23.6,-
2015,387643,-770,72254,71484,1593,381330,39.8,3626,381330,0.986,10708,613,12883,3205,8.4,1.6,33.8,0.947,47,22.4,65,16.6,-,34,43.2,-,25.81,1174,17117,22,232,3132,28,23870000,116135,907,-,-,159636,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,251,100,74,23.9,-
2016,379892,-10151,72793,62642,1621,375142,40,3392,375142,0.945,10995,636,12487,2588,6.9,1.7,28.6,0.963,49.9,20.1,64.9,12.4,-,30.3,45.4,-,24.97,1164,16361,22,232,3085,28,23890251,118456,791,-,-,158474,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,283,100,62,22.6,-
2017,374915,-6199,63689,57490,1533,368841,40.4,2812,368841,0.806,10868,576,11566,2294,6.2,1.6,24.3,0.967,42.2,17.8,64.1,15.9,-,36.7,53.8,-,24.36,1150,15850,22,226,2975,27,23890251,118355,681,247999,-,157877,29371,33868,7664,11967,2947,5121,1336,36325,-,-,-,-,-,-,-,-,235,100,69,19.2,-
2018,375077,-844,61071,60227,1612,368181,40.7,2528,368181,0.733,11282,560,10781,2229,6.1,1.5,16.6,0.974,59.7,17.8,59,18.1,-,37.3,50,28.8,23.74,1098,15432,22,223,2782,26,23890251,118619,1347,255152,-,159850,30283,35083,7655,12398,2987,5350,1317,37232,-,-,-,-,-,-,-,-,254,100,54,20.4,-
2019,374035,-1807,59573,57766,1563,369327,41,2334,369327,0.681,11890,565,10113,2029,5.5,1.5,30.8,0.951,40.1,17.6,66.7,15.4,3.9,40.4,45.1,28.9,23.42,1086,15272,22,203,2609,24,23884089,119298,482,247276,-,162161,30574,34878,7709,10892,2914,5218,1226,37290,-,-,-,-,-,-,-,-,246,100,56,20.2,13119
2020,371890,-2452,68667,66215,1653,365612,41.4,2015,365612,0.594,9968,531,9395,1929,5.3,1.5,29.6,-,67.7,17.6,63,13.7,5.6,40.5,36.6,-,22.91,1037,14375,22,232,2784,25,23883966,122311,651,-,-,166007,-,-,-,-,-,-,-,-,47590,41025,13605,12716,3917,6073,2058,58694,240,100,52,19.7,12951
2021,368905,-581,62124,61543,1735,365192,41.8,1959,365192,0.587,9781,527,8411,1578,4.3,1.4,28.7,-,59.2,14.2,54.9,12.2,1.7,52.3,44.7,-,22.89,1020,13888,22,245,2711,26,23883966,126005,536,-,-,169539,-,-,-,-,-,-,-,-,45896,41204,12958,11930,3963,5646,1998,56782,242,100,52,22.2,12945
2022,364638,-2448,52169,49721,1936,362408,42.2,1761,362408,0.529,10947,397,7667,1520,4.2,1.1,25.5,-,51,15.9,61.2,12.2,3.1,44.2,43.2,-,22.3,1018,13750,22,245,2619,27,23883966,127057,264,-,19.1,171619,-,-,-,-,-,-,-,-,44573,39517,12311,11588,4099,5412,1945,55516,250,100,-,17.9,12818
2023,363697,-771,51353,50582,-,-,-,-,-,-,-,428,-,1573,4.4,1.2,22.9,-,54.5,17.3,61.9,10.1,2.2,41.2,51,-,21.81,1024,13364,22,254,2542,27,-,-,193,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,271,-,-,-,12747
