,성북구_주민등록인구 (명),성북구_순이동인구 (명),성북구_전출인구 (명),성북구_전입인구 (명),성북구_사망자수 (명),성북구_인구총조사 인구,성북구_평균연령,성북구_출생아수 (명),성북구_인구총조사 인구,성북구_합계출산율,성북구_등록외국인 현황 (명),성북구_이혼건수 (건),성북구_신혼부부수 (쌍),성북구_혼인건수 (건),성북구_조혼인율,성북구_조이혼율,성북구_스트레스인지율 (%),성북구_EQ-5D (점),성북구_주관적 건강수준인지율 (%),성북구_흡연율 (%),성북구_음주율 (%),성북구_고위험음주율 (%),성북구_미충족의료율 (%),성북구_인플루엔자 예방접종률 (%),성북구_건강생활실천율 (%),성북구_비만유병률 (%),성북구_학급당 학생수 (명),성북구_초등학교 교원수 (명),성북구_초등학교 학생수 (명),성북구_초등학교 수 (개),성북구_유치원 교원수 (명),성북구_유치원 원아수 (명),성북구_유치원 수 (개),성북구_도시지역면적 (㎡),성북구_주택수 (호),성북구_토지거래면적,성북구_종사자수 (명),성북구_친환경인증 농산물 출하량 (톤),성북구_가구수 (가구),성북구_서비스업 사업체수 (개),성북구_도소매업 종사자수 (명),성북구_도소매업 사업체수 (개),성북구_운수업 종사자수 (명),성북구_운수업 사업체수 (개),성북구_제조업 종사자수 (명),성북구_제조업 사업체수 (개),성북구_사업체수 (개),성북구_서비스업 사업체수(등록기반) (개),성북구_도소매업 종사자수(등록기반) (명),성북구_도소매업 사업체수(등록기반) (개),성북구_운수업 종사자수(등록기반) (명),성북구_운수업 사업체수(등록기반) (개),성북구_제조업 종사자수(등록기반) (명),성북구_제조업 사업체수(등록기반) (개),성북구_사업체수(등록기반) (개),성북구_화재발생건수 (건),성북구_하수도보급률 (%),성북구_폐수배출업소수 (개),성북구_인구십만명당 자살률 (십만명당),성북구_등록장애인수 (명)
2014,466706,-11439,76521,65082,2117,-,-,3537,-,0.949,9255,907,-,2415,5.2,2,32.8,0.939,46.8,24.5,62.3,16.9,-,35,36.4,-,26.71,1448,23948,29,414,5630,55,24550000,-,527,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,175,100,70,19.4,-
2015,459275,-9409,76213,66804,2154,456844,40.3,3514,456844,0.991,10285,823,11943,2379,5.2,1.8,33.8,0.945,48.6,21.3,64,16.8,-,36.4,39.9,-,26.01,1473,23306,29,415,5440,55,24550000,128046,813,-,4,178717,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,151,100,70,20.6,-
2016,450355,-10396,70396,60000,2139,451800,40.6,3060,451800,0.909,11262,833,11050,2131,4.8,1.9,31.7,0.939,45,23.1,64.2,18.3,-,32.7,34.5,-,25.39,1459,22467,29,407,5243,52,24550000,128502,852,-,4,179278,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,194,100,72,23.3,-
2017,444055,-6936,68221,61285,2097,445417,41.1,2631,445417,0.818,11352,732,10210,1917,4.4,1.7,30.5,0.946,44,19.8,66.1,19.4,-,38,46.1,-,24.79,1399,21897,29,425,5094,52,24621422,130766,804,108991,2.5,178276,16464,15313,4927,6708,3520,9199,2424,24039,-,-,-,-,-,-,-,-,183,100,76,21.9,-
2018,435868,-8330,65477,57147,2215,438734,41.5,2264,438734,0.737,11819,757,9480,1919,4.4,1.8,29.5,0.947,41.1,20.6,66.8,22.2,-,33.3,42.4,38,23.91,1405,21564,29,424,4849,50,24621422,129994,776,108201,2,177489,16369,15159,4805,6058,3080,8140,2214,23287,-,-,-,-,-,-,-,-,215,100,68,24.8,-
2019,442650,6672,61169,67841,2184,445327,41.9,2147,445327,0.707,12094,661,9563,1880,4.4,1.5,30,0.939,38.3,18.6,63.3,15.4,5,38.9,42.8,31.2,23.2,1391,21051,29,396,4535,49,24621422,136437,816,111005,2,182594,16303,14662,4697,6130,3557,7873,2144,23617,-,-,-,-,-,-,-,-,191,100,64,25.7,17687
2020,437153,-5278,68231,62953,2265,438833,42.5,2041,438833,0.676,9903,667,9196,1672,3.9,1.5,33.8,-,54.9,18.6,57.7,15.4,5.8,48.2,38.7,-,22.62,1359,20086,29,392,4346,47,24621422,138621,726,-,2.7,184871,-,-,-,-,-,-,-,-,25026,18869,9132,6178,3446,9778,3150,34420,173,100,61,20.8,17490
2021,430528,-3340,62394,59054,2320,435509,42.8,1939,435509,0.656,9614,647,8498,1471,3.4,1.5,30.8,-,46.3,17.2,54.3,11.5,5.8,43.3,45.7,-,22.49,1354,19628,29,395,4208,46,24621422,140138,544,-,-,187246,-,-,-,-,-,-,-,-,25033,18873,9143,6135,3691,8743,3138,34712,168,100,63,24.5,17382
2022,430397,2039,50725,52764,2622,436113,43.2,1896,436113,0.649,11587,532,7977,1429,3.3,1.2,28.4,-,53.2,18.9,60.9,13,2.8,43.2,46.3,-,22,1340,19369,29,405,4099,46,24621422,142602,286,-,0.26,190541,-,-,-,-,-,-,-,-,25257,18220,9290,6368,3921,8580,3161,35162,158,100,-,18.3,17471
2023,425602,-4072,50528,46456,-,-,-,-,-,-,-,522,-,1396,3.3,1.2,30.1,-,46.9,19,62.1,16.7,5.5,47.7,46.3,-,21.76,1362,18764,29,408,3948,46,-,-,367,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,246,-,-,-,17032
