,양천구_주민등록인구 (명),양천구_순이동인구 (명),양천구_전출인구 (명),양천구_전입인구 (명),양천구_사망자수 (명),양천구_인구총조사 인구,양천구_평균연령,양천구_출생아수 (명),양천구_인구총조사 인구,양천구_합계출산율,양천구_등록외국인 현황 (명),양천구_이혼건수 (건),양천구_신혼부부수 (쌍),양천구_혼인건수 (건),양천구_조혼인율,양천구_조이혼율,양천구_스트레스인지율 (%),양천구_EQ-5D (점),양천구_주관적 건강수준인지율 (%),양천구_흡연율 (%),양천구_음주율 (%),양천구_고위험음주율 (%),양천구_미충족의료율 (%),양천구_인플루엔자 예방접종률 (%),양천구_건강생활실천율 (%),양천구_비만유병률 (%),양천구_학급당 학생수 (명),양천구_초등학교 교원수 (명),양천구_초등학교 학생수 (명),양천구_초등학교 수 (개),양천구_유치원 교원수 (명),양천구_유치원 원아수 (명),양천구_유치원 수 (개),양천구_도시지역면적 (㎡),양천구_주택수 (호),양천구_토지거래면적,양천구_종사자수 (명),양천구_친환경인증 농산물 출하량 (톤),양천구_가구수 (가구),양천구_서비스업 사업체수 (개),양천구_도소매업 종사자수 (명),양천구_도소매업 사업체수 (개),양천구_운수업 종사자수 (명),양천구_운수업 사업체수 (개),양천구_제조업 종사자수 (명),양천구_제조업 사업체수 (개),양천구_사업체수 (개),양천구_서비스업 사업체수(등록기반) (개),양천구_도소매업 종사자수(등록기반) (명),양천구_도소매업 사업체수(등록기반) (개),양천구_운수업 종사자수(등록기반) (명),양천구_운수업 사업체수(등록기반) (개),양천구_제조업 종사자수(등록기반) (명),양천구_제조업 사업체수(등록기반) (개),양천구_사업체수(등록기반) (개),양천구_화재발생건수 (건),양천구_하수도보급률 (%),양천구_폐수배출업소수 (개),양천구_인구십만명당 자살률 (십만명당),양천구_등록장애인수 (명)
2014,486221,-8270,70772,62502,1864,-,-,3527,-,1.005,4487,873,-,2490,5.1,1.8,30,0.949,46.7,19.1,61.6,13.8,-,32.3,46.3,-,28.43,1542,25446,30,391,5264,50,17410000,-,426,-,113.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,209,100,78,19.2,-
2015,484532,-4035,70624,66589,1898,465512,39.6,3526,465512,1.034,4478,775,11952,2516,5.2,1.6,30.3,0.958,51.1,17.8,63.3,19.2,-,36.4,51.3,-,27.56,1526,25237,30,409,5168,50,17410000,134097,686,-,-,166139,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,218,100,78,24.8,-
2016,477739,-9019,74404,65385,1891,460267,40,3334,460267,1.008,4106,821,11717,2258,4.7,1.7,31,0.958,48.6,18.8,63.9,15,-,34.5,50.1,-,26.73,1536,24825,30,416,5177,49,17410000,137651,843,-,103,165412,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,229,100,91,19.3,-
2017,471154,-7932,62729,54797,1805,452111,40.6,2876,452111,0.898,3864,700,10880,2021,4.3,1.5,31.2,0.957,47.9,20.5,63.2,19.8,-,35.2,43.4,-,25.74,1540,24526,30,422,4972,50,17469613,137056,554,119943,98.9,164193,18133,17338,5432,12935,4894,5294,1190,26077,-,-,-,-,-,-,-,-,244,100,83,17.9,-
2018,464185,-7835,62414,54579,1842,445591,41.2,2387,445591,0.771,3960,743,9991,1957,4.2,1.6,29.3,0.955,47.2,16.7,65.3,15.8,-,41.8,56.2,28.4,24.78,1526,24481,30,400,4805,47,17469613,137850,532,123311,71,164048,18056,17547,5259,12806,5053,4926,1150,26126,-,-,-,-,-,-,-,-,219,100,80,18.6,-
2019,458165,-6477,56733,50256,1900,440354,41.8,2222,440354,0.742,4120,727,9055,1705,3.7,1.6,28.5,0.959,47.2,16.2,64.4,14.4,6.1,42.1,48.9,34.6,24.25,1533,24414,30,380,4469,43,17469613,139938,494,121582,65.96,165106,17989,17160,5087,12291,5017,4524,1075,25894,-,-,-,-,-,-,-,-,163,100,78,18.4,17456
2020,454251,-3940,68021,64081,1921,439068,42.2,1875,439068,0.644,3530,761,8523,1637,3.6,1.7,30.1,-,63.2,14.4,61.1,9.4,3.2,47.1,42.9,-,23.97,1555,23985,30,363,4150,39,17469613,143769,570,-,77,168184,-,-,-,-,-,-,-,-,26156,20421,9257,11537,5924,5125,1638,37183,153,100,78,19.3,17558
2021,447302,-5490,60442,54952,2027,433373,42.9,1827,433373,0.645,3185,683,7711,1359,3,1.5,29.6,-,52,18.7,57.1,15.5,4.9,45.8,42.3,-,24.1,1503,23469,30,351,3769,39,17469613,145843,379,-,59.1,170289,-,-,-,-,-,-,-,-,26385,20765,9281,13193,6507,4648,1583,37929,151,100,78,17.2,17525
2022,440881,-4753,49292,44539,2302,426981,43.6,1682,426981,0.608,3129,637,7023,1339,3,1.4,24.7,-,57,15.7,60.5,12.3,4.5,42.6,52.8,-,23.55,1492,22998,30,362,3457,39,17469613,146886,310,-,60,171291,-,-,-,-,-,-,-,-,26274,20472,9262,11764,6526,4556,1559,37774,159,100,-,17.9,17578
2023,436028,-4349,48552,44203,-,-,-,-,-,-,-,562,-,1252,2.9,1.3,25.3,-,59.3,15.5,59.4,13.3,1.8,42.1,54.3,-,23.28,1495,21801,30,355,3176,38,-,-,228,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,162,-,-,-,17673
