,영등포구_주민등록인구 (명),영등포구_순이동인구 (명),영등포구_전출인구 (명),영등포구_전입인구 (명),영등포구_사망자수 (명),영등포구_인구총조사 인구,영등포구_평균연령,영등포구_출생아수 (명),영등포구_인구총조사 인구,영등포구_합계출산율,영등포구_등록외국인 현황 (명),영등포구_이혼건수 (건),영등포구_신혼부부수 (쌍),영등포구_혼인건수 (건),영등포구_조혼인율,영등포구_조이혼율,영등포구_스트레스인지율 (%),영등포구_EQ-5D (점),영등포구_주관적 건강수준인지율 (%),영등포구_흡연율 (%),영등포구_음주율 (%),영등포구_고위험음주율 (%),영등포구_미충족의료율 (%),영등포구_인플루엔자 예방접종률 (%),영등포구_건강생활실천율 (%),영등포구_비만유병률 (%),영등포구_학급당 학생수 (명),영등포구_초등학교 교원수 (명),영등포구_초등학교 학생수 (명),영등포구_초등학교 수 (개),영등포구_유치원 교원수 (명),영등포구_유치원 원아수 (명),영등포구_유치원 수 (개),영등포구_도시지역면적 (㎡),영등포구_주택수 (호),영등포구_토지거래면적,영등포구_친환경인증 축산물 출하량 (톤),영등포구_종사자수 (명),영등포구_친환경인증 농산물 출하량 (톤),영등포구_가구수 (가구),영등포구_서비스업 사업체수 (개),영등포구_도소매업 종사자수 (명),영등포구_도소매업 사업체수 (개),영등포구_운수업 종사자수 (명),영등포구_운수업 사업체수 (개),영등포구_제조업 종사자수 (명),영등포구_제조업 사업체수 (개),영등포구_사업체수 (개),영등포구_서비스업 사업체수(등록기반) (개),영등포구_도소매업 종사자수(등록기반) (명),영등포구_도소매업 사업체수(등록기반) (개),영등포구_운수업 종사자수(등록기반) (명),영등포구_운수업 사업체수(등록기반) (개),영등포구_제조업 종사자수(등록기반) (명),영등포구_제조업 사업체수(등록기반) (개),영등포구_사업체수(등록기반) (개),영등포구_화재발생건수 (건),영등포구_하수도보급률 (%),영등포구_폐수배출업소수 (개),영등포구_인구십만명당 자살률 (십만명당),영등포구_등록장애인수 (명)
2014,382352,-6605,65662,59057,1563,-,-,3480,-,1.025,39084,773,-,2951,7.8,2,31,0.94,46.1,23.3,62,19.6,-,33.8,38.3,-,25.64,1123,15499,23,303,3932,41,24560000,-,458,1.7,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,239,100,231,25.2,-
2015,378504,-6742,65678,58936,1701,406528,41.7,3611,406528,1.085,39307,726,12925,2934,7.9,1.9,29.8,0.962,50.6,20.2,62,18,-,33.7,43.2,-,24.82,1117,15078,23,316,4013,42,24354829,96195,829,-,-,2,162570,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,243,100,231,22.8,-
2016,370613,-10477,71785,61308,1643,398120,42,3282,398120,1.011,36166,693,12349,2609,7.1,1.9,31.8,0.967,52.1,17.5,64.5,12.2,-,35.6,51.3,-,23.83,1099,14449,23,327,4017,42,24354829,97089,835,-,-,2,161970,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,280,100,217,25.9,-
2017,368550,-3417,66039,62622,1560,393560,42.5,2805,393560,0.884,33474,628,11904,2539,7,1.7,29.7,0.967,54,16.9,69,18.4,-,37.2,54.6,-,22.71,1092,13905,23,308,3883,42,24354829,99225,759,-,362800,2,162626,31120,51856,11581,12233,4094,14084,4186,43163,-,-,-,-,-,-,-,-,239,100,232,20.2,-
2018,367778,-2246,62108,59862,1659,395286,42.8,2698,395286,0.851,35822,632,11509,2664,7.4,1.8,27.8,0.976,50.8,17.2,54.4,16.8,-,34.2,53.5,33.6,22.3,1081,13881,23,306,3707,42,24354830,99971,836,-,367557,-,166047,30652,52863,11068,11414,4164,13577,3957,42589,-,-,-,-,-,-,-,-,258,100,232,22.5,-
2019,367678,-1379,58253,56874,1708,394083,43.2,2633,394083,0.829,33308,684,10936,2449,6.8,1.9,28.5,0.951,44.6,17.1,64.5,16.3,4.6,42.4,53.2,33.9,21.56,1057,13891,23,281,3377,39,24354830,101603,570,-,373478,-,169700,30576,52966,10905,10822,4167,13245,3742,42370,-,-,-,-,-,-,-,-,265,100,200,23,14411
2020,379480,10783,68526,79309,1746,403619,43.5,2296,403619,0.705,27887,612,11199,2421,6.6,1.7,31.7,-,49.4,15,60.8,13.4,12.9,41.9,44.8,-,21.27,1039,13537,23,308,3410,37,24354830,107366,779,-,-,-,178217,-,-,-,-,-,-,-,-,46492,63017,17657,13512,5618,14406,4949,74060,225,100,199,21.3,14539
2021,376837,-543,61108,60565,1958,402984,43.8,2402,402984,0.713,24071,540,10587,2079,5.6,1.4,29.3,-,47.2,12.2,55.7,11.3,4.6,49.2,42.3,-,21.69,1042,13776,23,301,3356,37,24354830,110396,587,-,-,-,184045,-,-,-,-,-,-,-,-,45731,59798,16947,12445,5793,13520,4790,74562,208,100,201,20.1,14495
2022,375675,-292,53953,53661,2115,401805,44.2,2262,401805,0.671,22410,493,9578,1978,5.3,1.3,27.7,-,46.2,16.7,60.9,11.8,3.6,42.7,48.9,-,21.36,1070,13830,23,312,3254,39,24354830,112068,345,-,-,-,187482,-,-,-,-,-,-,-,-,44614,56420,16160,14095,6442,13142,4657,75470,249,100,-,18.8,14616
2023,374794,-1031,55574,54543,-,-,-,-,-,-,-,443,-,2053,5.5,1.2,27.3,-,55.5,17.1,66.2,13.2,3.7,43.1,45.9,-,21.36,1074,13752,23,326,3153,39,-,-,570,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,348,-,-,-,14645
